 C19 =>  C19
  N2 =>   N2
 C15 =>  C15
  N3 =>   N3
  C8 =>   C8
  N1 =>   N1
 C16 =>  C16
 C10 =>  C10
 C11 =>  C11
 C17 =>  C17
  C6 =>   C6
  O3 =>   O3
  O2 =>   O2
 C18 =>  C18
 C14 =>  C14
 C13 =>  C13
 C12 =>  C12
  C5 =>   C5
  C7 =>   C7
  F1 =>   F1
  H9 =>   H9
  F2 =>   F2
 H12 =>  H12
 H13 =>  H13
 H11 =>  H11
 H14 =>  H14
  N4 =>   N4
 CV1 =>   C9
 HV1 =>  HP1
 HV2 =>  H10
 H18 =>  H18
 H15 =>  H15
 H16 =>  H16
 H17 =>  H17
