  H1 =>   H1
  C2 =>   C2
  C3 =>  C11
  C5 =>  C12
  H6 =>  H15
  C7 =>  C13
 C12 =>   C7
 C11 =>   C5
 C10 =>   C3
 H27 =>   H6
 H28 =>   H8
 C13 =>  C16
 H14 =>  H17
 C15 =>  C18
 H16 =>  H19
 H17 =>  H20
 C18 =>  C21
 H19 =>  H22
 H20 =>  H23
 C21 =>  C24
 C24 =>  C27
 H25 =>  H28
 H26 =>  H29
 H22 =>  H25
 H23 =>  H26
